Java to C++ Translator, v. 2.1.1, My Group
Processing input.java ...
Enter scope at input.java:10:19
Enter scope at input.java:13:5
Enter scope at input.java:13:20
Exiting scope from input.java:13:20
Exiting scope from input.java:13:5
Enter scope at input.java:18:5
Enter scope at input.java:18:44
Enter scope at input.java:21:8
Enter scope at input.java:21:36
Enter scope at input.java:22:12
Exiting scope from input.java:22:12
Exiting scope from input.java:21:36
Exiting scope from input.java:21:8
Enter scope at input.java:30:8
Enter scope at input.java:30:22
Enter scope at input.java:32:12
Exiting scope from input.java:32:12
Exiting scope from input.java:30:22
Exiting scope from input.java:30:8
Enter scope at input.java:39:8
Enter scope at input.java:39:18
Exiting scope from input.java:39:18
Exiting scope from input.java:39:8
Enter scope at input.java:46:8
Exiting scope from input.java:46:8
Enter scope at input.java:54:8
Exiting scope from input.java:54:8
Enter scope at input.java:69:8
Enter scope at input.java:69:12
Exiting scope from input.java:69:12
Enter scope at input.java:71:28
Exiting scope from input.java:71:28
Enter scope at input.java:73:17
Exiting scope from input.java:73:17
Exiting scope from input.java:69:8
Exiting scope from input.java:18:44
Exiting scope from input.java:18:5
Exiting scope from input.java:10:19
